PESEL;Id_badanie;
37112515913;Id_13;
38012109293;Id_16;
45032403378;Id_23;
45032403378;Id_19;
45032403378;Id_26;
45032403378;Id_25;
45032403378;Id_17;
47101603441;Id_16;
48022410659;Id_22;
48022410659;Id_16;
49051105785;Id_20;
49051105785;Id_23;
49051105785;Id_26;
49051105785;Id_22;
52010604944;Id_17;
52010604944;Id_18;
55031404478;Id_22;
55031404478;Id_21;
55031404478;Id_18;
55031404478;Id_20;
55050410388;Id_23;
55050410388;Id_26;
55050410388;Id_26;
55050410388;Id_17;
55050410388;Id_25;
55050410388;Id_25;
55050410388;Id_21;
55061412915;Id_23;
55061412915;Id_26;
55061412915;Id_19;
55061412915;Id_25;
55061412915;Id_16;
55061412915;Id_25;
55061412915;Id_24;
55081603378;Id_23;
55081603378;Id_25;
55113010737;Id_20;
55113010737;Id_23;
55113010737;Id_26;
55113010737;Id_22;
55113010737;Id_24;
56011800170;Id_23;
56011800170;Id_19;
56011800170;Id_22;
56011800170;Id_25;
56011800170;Id_20;
56011800170;Id_26;
56011800170;Id_25;
56011800170;Id_17;
56011800170;Id_18;
57011501860;Id_16;
57060206273;Id_26;
57060206273;Id_21;
57070405703;Id_25;
57070405703;Id_16;
57070405703;Id_24;
58051200633;Id_19;
58051200633;Id_22;
58051200633;Id_15;
58051200633;Id_21;
58051200633;Id_18;
58061002274;Id_19;
58061002274;Id_22;
58061002274;Id_15;
58061002274;Id_21;
58061002274;Id_18;
58071001525;Id_21;
58071001525;Id_26;
58071001525;Id_25;
58100411750;Id_21;
58110214590;Id_20;
58110214590;Id_22;
58110214590;Id_16;
58112502306;Id_19;
58112502306;Id_22;
58112502306;Id_21;
58112502306;Id_24;
58112502306;Id_18;
58112502306;Id_20;
58112502306;Id_23;
58112502306;Id_26;
58112502306;Id_19;
58112502306;Id_14;
58112502306;Id_25;
58112502306;Id_21;
58112502306;Id_17;
58112502306;Id_24;
58112502306;Id_25;
58112502306;Id_23;
58112502306;Id_26;
59052816316;Id_16;
59052816316;Id_20;
59082607578;Id_23;
59082607578;Id_26;
59082607578;Id_24;
59082607578;Id_19;
59082607578;Id_14;
59082607578;Id_25;
59082607578;Id_21;
59112112025;Id_26;
59112112025;Id_25;
59112112025;Id_24;
60012200995;Id_20;
60012200995;Id_23;
60012200995;Id_17;
60012200995;Id_9;
60022310848;Id_20;
60022310848;Id_23;
60022310848;Id_26;
60022310848;Id_21;
60022310848;Id_18;
60022310848;Id_26;
60022310848;Id_19;
60022310848;Id_17;
60022310848;Id_24;
60022310848;Id_26;
60022310848;Id_25;
60022310848;Id_24;
60022310848;Id_26;
60022310848;Id_25;
60051917742;Id_23;
60051917742;Id_19;
60051917742;Id_22;
60051917742;Id_21;
60051917742;Id_18;
60060616388;Id_20;
60092418673;Id_23;
60092418673;Id_26;
60092418673;Id_19;
60092418673;Id_22;
60092418673;Id_14;
60092418673;Id_25;
60092418673;Id_21;
60092418673;Id_17;
60092418673;Id_24;
60092418673;Id_18;
61052108312;Id_19;
61052108312;Id_22;
61052108312;Id_21;
61052108312;Id_18;
61052108312;Id_20;
61052108312;Id_19;
61052108312;Id_17;
61071807924;Id_17;
61071807924;Id_18;
61071807924;Id_26;
61071807924;Id_26;
61080504779;Id_26;
61083117327;Id_9;
61090606115;Id_23;
61090606115;Id_26;
61090606115;Id_25;
61091014395;Id_23;
61091014395;Id_26;
61091014395;Id_19;
61091014395;Id_22;
61091014395;Id_16;
61091014395;Id_25;
61091014395;Id_21;
61091014395;Id_17;
61091014395;Id_24;
61091014395;Id_18;
61091014395;Id_26;
61091014395;Id_14;
61091014395;Id_25;
61101405036;Id_20;
61101405036;Id_23;
61101405036;Id_26;
61101405036;Id_8;
61101405036;Id_22;
61101405036;Id_16;
61101405036;Id_25;
61101405036;Id_21;
61101405036;Id_17;
61101405036;Id_24;
61101405036;Id_18;
61111417127;Id_19;
61111417127;Id_16;
61111417127;Id_25;
62010912097;Id_19;
62010912097;Id_21;
62010912097;Id_17;
62010912097;Id_24;
62010912097;Id_18;
62010912097;Id_20;
62010912097;Id_23;
62010912097;Id_26;
62010912097;Id_22;
62010912097;Id_14;
62010912097;Id_25;
62041705967;Id_17;
62070803676;Id_26;
62070803676;Id_25;
62110801331;Id_23;
62110801331;Id_19;
62110801331;Id_22;
62110801331;Id_21;
62110801331;Id_18;
62110801331;Id_20;
62110801331;Id_26;
62110801331;Id_7;
62110801331;Id_25;
62110801331;Id_17;
62110801331;Id_5;
63021401257;Id_23;
63021401257;Id_26;
63021401257;Id_22;
63021401257;Id_14;
63021401257;Id_25;
63072206491;Id_6;
63092007350;Id_23;
63092007350;Id_26;
63092007350;Id_25;
63092007350;Id_21;
63092007350;Id_24;
63092007350;Id_26;
63092007350;Id_21;
63102007323;Id_25;
63102007323;Id_23;
63121303156;Id_20;
63121303156;Id_19;
63121303156;Id_15;
63121303156;Id_21;
63121303156;Id_22;
64012808431;Id_20;
64012808431;Id_23;
64012808431;Id_26;
64012808431;Id_19;
64012808431;Id_22;
64012808431;Id_16;
64012808431;Id_25;
64012808431;Id_21;
64012808431;Id_17;
64012808431;Id_24;
64012808431;Id_18;
64042313475;Id_19;
64042313475;Id_22;
64042313475;Id_21;
64042313475;Id_18;
64042313475;Id_23;
64042313475;Id_26;
64061422815;Id_20;
64070509590;Id_26;
64070509590;Id_25;
64070509590;Id_21;
64081501326;Id_12;
64082514788;Id_23;
64082514788;Id_26;
64082514788;Id_25;
64082514788;Id_21;
64082514788;Id_24;
64082514788;Id_18;
64091312364;Id_25;
64091312364;Id_24;
64091312364;Id_25;
64091312364;Id_25;
64091312364;Id_26;
64091312364;Id_25;
64110211225;Id_20;
64110211225;Id_23;
64110211225;Id_26;
64110211225;Id_22;
64110211225;Id_16;
64111601991;Id_19;
64111601991;Id_22;
64111601991;Id_15;
64111601991;Id_21;
64111601991;Id_18;
64111601991;Id_20;
64111601991;Id_23;
64111601991;Id_26;
64111601991;Id_25;
64111601991;Id_17;
64111601991;Id_24;
64111601991;Id_26;
65021701832;Id_26;
65021701832;Id_25;
65032211069;Id_20;
65032211069;Id_23;
65032211069;Id_22;
65032211069;Id_21;
65032211069;Id_17;
65032211069;Id_18;
65032211069;Id_15;
65032211069;Id_25;
65032211069;Id_24;
65032405578;Id_14;
65043005160;Id_19;
65043005160;Id_25;
65043005160;Id_17;
65043005160;Id_26;
65061310267;Id_26;
65061310267;Id_25;
65061310267;Id_26;
65061310267;Id_25;
65121407618;Id_20;
65121407618;Id_22;
65121407618;Id_16;
65121407618;Id_21;
66041918688;Id_9;
66041918689;Id_1;
66051901775;Id_23;
66052812472;Id_25;
66052812472;Id_21;
66052812472;Id_23;
66052812472;Id_26;
66052812472;Id_19;
66052812472;Id_22;
66052812472;Id_14;
66052812472;Id_25;
66052812472;Id_21;
66052812472;Id_17;
66052812472;Id_24;
66052812472;Id_18;
66070306245;Id_23;
66070306245;Id_26;
66070306245;Id_25;
66070306245;Id_21;
66070306245;Id_20;
66070306245;Id_19;
66070306245;Id_22;
66070306245;Id_17;
66070306245;Id_24;
66070306245;Id_18;
66071707373;Id_20;
66071707373;Id_23;
66071707373;Id_26;
66071707373;Id_22;
66083001254;Id_19;
66083001254;Id_17;
66083001254;Id_24;
66083001254;Id_18;
66090411639;Id_20;
66090411639;Id_19;
66090411639;Id_21;
66090411639;Id_17;
66090411639;Id_18;
66101306110;Id_23;
66101306110;Id_26;
66101306110;Id_24;
66102606608;Id_23;
66102606608;Id_19;
66102606608;Id_21;
66111106414;Id_23;
66111106414;Id_26;
66111106414;Id_25;
66121804986;Id_26;
67011509297;Id_25;
67011509297;Id_26;
67011700065;Id_20;
67011700066;Id_19;
67011700069;Id_17;
67012656672;Id_19;
67012656672;Id_16;
67012656672;Id_25;
67012656672;Id_21;
67012656672;Id_17;
67012656672;Id_24;
67012656672;Id_18;
67020901046;Id_20;
67020901046;Id_22;
67020901046;Id_18;
67020901046;Id_15;
67020901046;Id_24;
67021304114;Id_19;
67021304114;Id_22;
67021304114;Id_17;
67021304114;Id_18;
67031100926;Id_26;
67031100926;Id_25;
67032009491;Id_20;
67032009491;Id_19;
67032009491;Id_22;
67032009491;Id_16;
67032009491;Id_21;
67032009491;Id_24;
67032009491;Id_18;
67041107573;Id_19;
67041107573;Id_22;
67041107573;Id_21;
67041107573;Id_18;
67041107573;Id_23;
67041107573;Id_26;
67041107573;Id_25;
67041107573;Id_17;
67053010892;Id_24;
67060513342;Id_20;
67060513342;Id_22;
67060513342;Id_25;
67060513342;Id_24;
67070506024;Id_20;
67070506024;Id_21;
67080610876;Id_22;
67080610876;Id_16;
67080610876;Id_24;
67080610876;Id_18;
67091005928;Id_20;
67092610882;Id_20;
67092610882;Id_22;
67092610882;Id_24;
67110109514;Id_21;
67110109514;Id_18;
67110109514;Id_20;
67110109514;Id_24;
68010308085;Id_26;
68010308085;Id_19;
